PWSSWGT,age,sex,education,marital_status,race,state_fips,metro_status,cbsa_code,labor_force_status_major,industry_major_recode,PRMJOCC1,hourly_earnings,use_laptop,use_desktop,use_tablet,use_smartphone,internet_at_home,internet_at_work,internet_at_school,internet_at_cafe,internet_while_traveling,HXINLICO,internet_elsewhere_home,internet_other_places,is_random_respondent,internet_usage_count,internet_user
54584358,48,1,43,4,1,13,1,12060,1,4,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
42727259,45,1,43,1,1,13,1,16860,1,9,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
37995734,44,2,42,1,1,13,1,16860,1,8,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
54087268,47,1,42,6,1,13,1,47580,1,4,9,-1,1,1,1,1,1,1,1,1,1,1,1,1,20,8,1
44941793,53,2,43,6,1,13,1,47580,1,13,5,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,8,1
72627260,32,2,39,6,2,13,1,12060,1,6,5,-1,1,0,0,0,0,0,0,0,0,0,0,0,20,0,0
77913928,33,1,39,6,2,13,1,12060,1,6,9,-1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
72627260,32,2,41,6,2,13,1,12060,1,8,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
77913928,33,1,39,6,2,13,1,12060,1,7,8,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
68182486,25,2,43,6,2,13,1,12060,6,-1,-1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,20,7,1
109576334,34,1,39,6,2,13,1,12060,1,5,10,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
44936858,53,1,42,1,1,13,1,42340,1,10,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
49767824,52,2,42,1,1,13,1,42340,1,10,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
47608219,31,1,43,6,1,13,1,12060,1,5,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
86359244,26,1,43,6,4,13,1,12060,1,10,9,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
91962560,25,2,43,6,2,13,1,12060,1,5,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
46784846,35,1,43,1,4,13,1,12060,1,9,2,-1,0,0,1,1,1,1,1,1,1,1,1,1,-1,8,1
